tipolista,dataimportazione,dataaggiornamento,nomefile,lunghezzafile,errore,md5file,aggiornamenti,numerosoggetti
nsdn,2026-06-09 19:02:04.471+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-09 19:02:08.56+00,2026-06-08 21:00:06.982+00,onu.xml,2171825,f,,N,-1
eu,2026-06-09 19:02:13.641+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-09 19:02:37.788+00,2026-06-08 22:00:00+00,uk.xml,21214968,f,,N,-1
ca,2026-06-09 19:02:53.982+00,2026-06-09 19:02:58.353+00,ca.xml,1793449,f,,N,-1
us,2026-06-09 19:03:13.176+00,2026-06-09 19:03:13.177+00,cuba.xml,262316,f,,N,-1
au,2026-06-10 05:00:01.502+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-10 05:00:29.88+00,2026-06-04 22:00:00+00,ofac_sdn.xml,28564702,f,,N,-1
ch,2026-06-10 05:01:27.289+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-10 05:01:59.237+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-10 05:02:03.751+00,2026-06-09 21:00:03.055+00,onu.xml,2171560,f,,N,-1
eu,2026-06-10 05:02:08.841+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-10 05:02:33.155+00,2026-06-08 22:00:00+00,uk.xml,21214968,f,,N,-1
ca,2026-06-10 05:02:50.983+00,2026-06-10 05:02:55.326+00,ca.xml,1793449,f,,N,-1
us,2026-06-10 05:03:09.665+00,2026-06-10 05:03:09.666+00,cuba.xml,262316,f,,N,-1
au,2026-06-10 19:00:08.473+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-10 19:00:43.254+00,2026-06-09 22:00:00+00,ofac_sdn.xml,28581201,f,,N,-1
ch,2026-06-10 19:01:53.363+00,2026-06-04 22:00:00+00,ch.xml,39726302,f,,N,-1
nsdn,2026-06-10 19:02:21.413+00,2026-01-07 23:00:00+00,ofac_non_sdn.xml,978210,f,,N,-1
aq,2026-06-10 19:02:26.509+00,2026-06-09 21:00:03.055+00,onu.xml,2171560,f,,N,-1
eu,2026-06-10 19:02:31.134+00,2026-06-04 22:00:00+00,euea.xml,24730335,f,,N,-1
uk,2026-06-10 19:02:53.554+00,2026-06-09 22:00:00+00,uk.xml,21214968,f,,N,-1
ca,2026-06-10 19:03:10.287+00,2026-06-10 19:03:14.776+00,ca.xml,1793449,f,,N,-1
us,2026-06-10 19:03:29.673+00,2026-06-10 19:03:29.673+00,cuba.xml,262316,f,,N,-1
au,2026-06-11 05:00:09.212+00,2026-06-02 22:00:00+00,au.xlsx,1324704,f,,N,-1
sdn,2026-06-11 05:00:36.281+00,2026-06-09 22:00:00+00,ofac_sdn.xml,28581201,f,,N,-1
